indice-de-tiempo,pais_id,pais,provincia_id,provincia,producto_id,producto,unidad_de medida,cantidad
2014-01,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,109
2014-02,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,121
2014-03,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,115
2014-04,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,117
2014-05,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,90
2014-06,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,99
2014-07,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,96
2014-08,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,124
2014-09,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,114
2014-10,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,109
2014-11,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,104
2014-12,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,93
2014-01,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,157
2014-02,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,177
2014-03,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,158
2014-04,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,155
2014-05,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,148
2014-06,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,114
2014-07,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,98
2014-08,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,106
2014-09,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,118
2014-10,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,84
2014-11,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,134
2014-12,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,138
2014-01,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,230
2014-02,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,230
2014-03,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,208
2014-04,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,243
2014-05,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,229
2014-06,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,106
2014-07,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,133
2014-08,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,105
2014-09,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,166
2014-10,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,177
2014-11,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,163
2014-12,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,143
2014-01,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,79
2014-02,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,100
2014-03,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,74
2014-04,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,95
2014-05,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,96
2014-06,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,64
2014-07,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,83
2014-08,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,78
2014-09,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,101
2014-10,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,112
2014-11,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,91
2014-12,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,116
2014-01,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,193
2014-02,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,192
2014-03,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,206
2014-04,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,251
2014-05,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,211
2014-06,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,123
2014-07,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,103
2014-08,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,105
2014-09,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,115
2014-10,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,142
2014-11,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,186
2014-12,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,147
2014-01,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,135
2014-02,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,69
2014-03,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,145
2014-04,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,214
2014-05,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,206
2014-06,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,195
2014-07,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,188
2014-08,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,177
2014-09,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,98
2014-10,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,180
2014-11,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,151
2014-12,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,113
2015-01,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,101
2015-02,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,104
2015-03,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,68
2015-04,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,91
2015-05,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,100
2015-06,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,88
2015-07,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,79
2015-08,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,100
2015-09,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,85
2015-10,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,84
2015-11,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,98
2015-12,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,111
2015-01,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,220
2015-02,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,226
2015-03,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,211
2015-04,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,173
2015-05,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,165
2015-06,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,141
2015-07,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,124
2015-08,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,158
2015-09,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,117
2015-10,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,122
2015-11,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,151
2015-12,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,165
2015-01,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,290
2015-02,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,123
2015-03,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,153
2015-04,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,179
2015-05,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,169
2015-06,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,90
2015-07,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,100
2015-08,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,104
2015-09,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,131
2015-10,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,112
2015-11,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,103
2015-12,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,96
2015-01,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,108
2015-02,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,115
2015-03,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,111
2015-04,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,84
2015-05,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,103
2015-06,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,67
2015-07,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,74
2015-08,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,54
2015-09,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,53
2015-10,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,54
2015-11,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,114
2015-12,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,73
2015-01,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,308
2015-02,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,216
2015-03,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,188
2015-04,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,254
2015-05,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,306
2015-06,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,231
2015-07,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,231
2015-08,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,290
2015-09,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,198
2015-10,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,181
2015-11,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,280
2015-12,32,Argentina,82,Santa Fe,2211,Leche cruda,miles de unidades,311
2015-01,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,150
2015-02,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,180
2015-03,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,122
2015-04,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,135
2015-05,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,199
2015-06,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,147
2015-07,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,138
2015-08,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,170
2015-09,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,136
2015-10,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,74
2015-11,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,226
2015-12,32,Argentina,86,Santiago del Estero,2211,Leche cruda,miles de unidades,317
2016-01,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,127
2016-02,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,112
2016-03,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,78
2016-04,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,114
2016-05,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,84
2016-06,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,85
2016-07,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,103
2016-08,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,82
2016-09,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,50
2016-10,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,64
2016-11,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,74
2016-12,32,Argentina,6,Buenos Aires,2211,Leche cruda,miles de unidades,73
2016-01,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,200
2016-02,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,193
2016-03,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,143
2016-04,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,221
2016-05,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,188
2016-06,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,177
2016-07,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,211
2016-08,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,172
2016-09,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,138
2016-10,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,178
2016-11,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,112
2016-12,32,Argentina,14,Córdoba,2211,Leche cruda,miles de unidades,112
2016-01,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,144
2016-02,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,137
2016-03,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,126
2016-04,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,159
2016-05,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,147
2016-06,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,142
2016-07,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,236
2016-08,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,170
2016-09,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,139
2016-10,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,231
2016-11,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,128
2016-12,32,Argentina,30,Entre Ríos,2211,Leche cruda,miles de unidades,138
2016-01,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,110
2016-02,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,138
2016-03,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,100
2016-04,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,101
2016-05,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,90
2016-06,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,129
2016-07,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,95
2016-08,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,118
2016-09,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,44
2016-10,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,72
2016-11,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,76
2016-12,32,Argentina,42,La Pampa,2211,Leche cruda,miles de unidades,64
